"Au Métro","8 Place Félix Eboué, Paris","restaurant","48.8391","2.39616","75012","AuM_75012_1251","re-75012","kfex3075","kfex3075_1252"
"Au Métro","66 Rue Raymond Losserand, Paris","restaurant","48.8342","2.31824","75014","AuM_75014_1550","re-75014","kfex3075","kfex3075_1551"
"Au Pied de Cochon","6 Rue Coquillière, Paris","restaurant","48.8635","2.34372","75001","AuP_75001_64","re-75001","kfex3075","kfex3075_65"
"Au Petit Riche","25 Rue Le Peletier, Paris","restaurant","48.8732","2.33849","75002","AuP_75002_211","re-75002","kfex3075","kfex3075_212"
"Au Père Fouettard","9 Rue Pierre Lescot, Paris","restaurant","48.8626","2.34837","75003","AuP_75003_336","re-75003","kfex3075","kfex3075_337"
"Au Petit Poulbot","16 Place des Abbesses, Paris","amusement_park","48.8844","2.33853","75009","AuP_75009_996","am-75009","kfex3075","kfex3075_997"
"Au Petit Marguery","9 Boulevard de Port-Royal, Paris","restaurant","48.8368","2.34987","75013","AuP_75013_1408","re-75013","kfex3075","kfex3075_1409"
"Au Royal Mad","68 Rue Sedaine, Paris","playground","48.8582","2.37764","75011","AuR_75011_1155","pl-75011","kfex3075","kfex3075_1156"
"Au Rendez-Vous des Amis","23 Rue Gabrielle, Paris","restaurant","48.8857","2.3406","75018","AuR_75018_2106","re-75018","kfex3075","kfex3075_2107"
"Au Rendez-Vous de Montmartre","15 Rue la Vieuville, Paris","restaurant","48.8847","2.34015","75018","AuR_75018_2139","re-75018","kfex3075","kfex3075_2140"
"Auriane Porte de Versailles","60 Rue Olivier de Serres, Paris","playground","48.8341","2.29518","75015","Auri_75015_1759","pl-75015","kfex3075","kfex3075_1760"
"Au Soleil de la Butte","32 Rue Muller, Paris","restaurant","48.8865","2.3453","75018","AuS_75018_2109","re-75018","kfex3075","kfex3075_2110"
"Austin's Arts et Metiers Hotel","6 Rue Montgolfier, Paris","playground","48.8659","2.35715","75003","Aust_75003_380","pl-75003","kfex3075","kfex3075_381"
"Austin's Saint Lazare Hôtel","26 Rue d'Amsterdam, Paris","playground","48.877","2.32704","75008","Aust_75008_919","pl-75008","kfex3075","kfex3075_920"
"Auteuil Brasserie","78 Rue d'Auteuil, Paris","restaurant","48.8483","2.25987","75016","Aute_75016_1825","re-75016","kfex3075","kfex3075_1826"
"Au Vieux Paris d'Arcole","24 Rue Chanoinesse, Paris","restaurant","48.8543","2.35029","75004","AuV_75004_448","re-75004","kfex3075","kfex3075_449"
"Aux Trois Mailletz","56 Rue Galande, Paris","restaurant","48.8522","2.34661","75005","Aux_75005_539","re-75005","kfex3075","kfex3075_540"
"Ave Maria","1 Rue Jacquard, Paris","restaurant","48.8646","2.37301","75003","Ave_75003_313","re-75003","kfex3075","kfex3075_314"
